,Country,ISO3,Specie,Breed/Most common name,Language,Description,Transboundary name,Other name,Provision Uses,Regulation and Maintenance Uses,Cultural Uses,Description Of Specific Uses,Production environment/management systems,Literature related to uses and ecosystem services,Additional information,Additional information comments,Efabis cultural role comment,Efabis cultural value,Adaptability to specific environment,Specific resistance or tolerance,Specific reproductive characteristic,Special characteristic of product,Other special qualities,Reference for special qualities,Efabis genetic features,Efabis environmental role,Efabis adaptability to marginal land,Body conformation,Coat description,Coat quality,Comb type,Skin colour,Shank and foot colour,Plumage colour,Pattern within feather,Avian classification,Color comments,Efabis main colour,Efabis skin colour,Number of horns males,Number of horns females,Horn shape size and comments,Wither height males,Wither height females,Weight males,Weight females,Breed classification (adaptedness),Herdbook,Herdbook established,Domestication status,Taxonomic classification,Description of origin,Year of origin,Import,Location within country,Eggs per year AVG,Eggs per year MIN,Eggs per year MAX,Egg weight,Wool or hair,Wool type,Fleece weight AVG,Fleece weight MIN,Fleece weight MAX,Fibre diam,Management system,Feeding of adults,Mobility,Milk per year AVG,Milk per year MIN,Milk per year MAX,Lactation length (day) AVG,Lactation length (day) MIN,Lactation length (day) MAX,Milk yield per lactation (kg) AVG,Milk yield per lactation (kg) MIN,Milk yield per lactation (kg) MAX,Milk fat AVG (%),Milk fat MIN (%),Milk fat MAX (%),Milk per day (kg),Number of lactations,Efabis milk protein AVG,Efabis milk protein MIN,Efabis milk protein MAX,Birth weight males,Birth weight females,Age maturity males,Age maturity females,Age breeding males,Age breeding females,Age first parturition (month) AVG,Age first parturition (month) MIN,Age first parturition (month) MAX,Parturition interval (day) AVG,Parturition interval (day) MIN,Parturition interval (day) MAX,Length productive life (years),Daily gain,Carcass weight (kg),Dressing percentage (%),Performance data reference,Managment conditions performance measured,Comments managment conditions,Additional performance parameters,Litter size AVG,Litter size MIN,Litter size MAX,Geographical classification,Local cryo conservation status,Local Risk,Detailed local risk status,Regional Transboundary Risk (detailed),International Transboundary Risk (detailed),Young per year AVG (number),Adult weight AVG (kg),Adult weight AVG (g),Birth weight AVG (kg),Birth weight AVG (g),Young mass per year AVG (kg),Young mass per year AVG (g)
13399,Thailand,THA,Duck,Paknam Duck (Ped Paknam),thai,"Paknam Duck is a small native duck. It was originated in the area of Chao Phraya River estuary. By the Chinese people immigrants migrated to Thailand. They brought their plants and animals with them. They always raised their duck in the provinces that around Gulf of Thailand. There were plenty of natural food with high quality (shrimp, crab, fish and carbohydrate sources from paddy rice field). By the feed sources, Ped Paknam eggs were high quality. There have disease resistance, heat tolerance, and high reproductive traits. They were introduced to cross with native duck and selected for many generation. They were used to improve native duck genetics to produce more eggs. By the revolution of agriculture system, the population of Paknam duck were decreased. Department of Livestock Development collected them for conservation and breeding program at Poultry Research and Development Center, Prachinburi province.",,Ped Paknam,"DamLine, Eggs, InterspeciesCrossing, SireLine",Fertilizer,,,,,"Age on first egg 140-180 day BW at first egg 1,450-1,500 g First egg weight 62 g Egg production was 280-300 eggs/year. Male mature weight 1,600-1,800 g Female mature weight 1,500-1,600 g ",,,,adaptability to tropical,disease resistance,high reproductive,,,,,,,,,,,,Black,,No special pattern,Indigenous, female - black hair throughout the body - white chest - black mouth - black shank and feet. Male -Dark green head -Other parts similar to females ,,,,,,,,1.7,1.55,Native,y,,Domestic,Breed,"Paknam Duck is a small native duck. It was originated in the area of Chao Phraya River estuary. By the Chinese people immigrants migrated to Thailand. They brought their plants and animals with them. They always raised their duck in the provinces that around Gulf of Thailand. There were plenty of natural food with high quality (shrimp, crab, fish and carbohydrate sources from paddy rice field). By the feed sources, Ped Paknam eggs were high quality. There have disease resistance, heat tolerance, and high reproductive traits. They were introduced to cross with native duck and selected for many generation. They were used to improve native duck genetics to produce more eggs. By the revolution of agriculture system, the population of Paknam duck were decreased. Department of Livestock Development collected them for conservation and breeding program at Poultry Research and Development Center, Prachinburi province.",,,"Eastern, Central, and Western part of Thailand",290.0,280.0,300.0,0.06,,,,,,,"scavenger, semi - intensive","agro-industrial by-products, concentrate, farm-household by-products",nomadic,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,28.0,28.0,28.0,,,,,,tropical,,,,,,local,No Material,notAtRisk,notAtRisk,,,,1.625,1625.0,,,,
13401,Thailand,THA,Muscovy duck,Kabinburi Muscovy Duck (Pedted Kabinburi),Thailand,"It was established and improved from Barbary duck from France by Department of Livestock and Development. Department of Livestock Development was supported 80 Barbary ducks by the private sector in 1991. It was started to develop and propagated at Bang Pakong Livestock Breeding Station, Chachoengsao Province. In 2000, this herd was moved to Kabinburi Poultry Research and Development Center, Prachinburi province. They have good characteristics of reproductive, growth performance, disease resistance, and adaptation. They are named as Kabinburi Muscovy Duck. - The newborn duckling has yellowish-brown feather, black eyes, pinkish eyes, Shank and feet are yellow. Some of them has black spots on the head. - During growing period, the feather is white throughout the body and black spots are prominent on the middle of the head. - They have pink beak, yellow feet. Their faces have a rough skin with pink corlor. Especially, male ducks have rough skin that pronounced full face. The female ducks have a little rough skin with pink on the area upper beak. - Male duck is larger than female duck - Age at first egg 6 - 7 months. - Weight at first eggs 2.4 - 2.6 months - First egg weight 58 - 60 g - Birth weight 52 - 54 g - weight when mature (12 months) - Male 4.5 - 5.1 kg - Female 2.8 - 3.2 kg - Egg production 160 - 180 eggs per year. - Fattening period 10-12 weeks. - weight at 12 weeks - Males 3.4 - 3.7 kg - Female 2.4 - 2.8 kg",Muscovy,Pedted Kabinburi,"DamLine, GeneralCrossbreeding, InterspeciesCrossing, Meat, ProductionOfOffspring, SireLine",,Research,,,,"Kabinburi Muscovy Duck It was established and improved from Barbary duck from France by Department of Livestock and Development. Department of Livestock Development was supported 80 Barbary ducks by the private sector in 1991. It was started to develop and propagated at Bang Pakong Livestock Breeding Station, Chachoengsao Province. In 2000, this herd was moved to Kabinburi Poultry Research and Development Center, Prachinburi province. They have good characteristics of reproductive, growth performance, disease resistance, and adaptation. They are named as Kabinburi Muscovy Duck. - The newborn duckling has yellowish-brown feather, black eyes, pinkish eyes, Shank and feet are yellow. Some of them has black spots on the head. - During growing period, the feather is white throughout the body and black spots are prominent on the middle of the head. - They have pink beak, yellow feet. Their faces have a rough skin with pink corlor. Especially, male ducks have rough skin that pronounced full face. The female ducks have a little rough skin with pink on the area upper beak. - Male duck is larger than female duck",,,,adaptability to tropical,disease resistance,good reproductive,,,,,,,,,,,Yellow,Yellow,White,No special pattern,Indigenous,#NAME?,,,,,,,,4.8,3.0,Native,y,1991,Domestic,Breed,"Kabinburi Muscovy Duck It was established and improved from Barbary duck from France by Department of Livestock and Development. Department of Livestock Development was supported 80 Barbary ducks by the private sector in 1991. It was started to develop and propagated at Bang Pakong Livestock Breeding Station, Chachoengsao Province. In 2000, this herd was moved to Kabinburi Poultry Research and Development Center, Prachinburi province. They have good characteristics of reproductive, growth performance, disease resistance, and adaptation. They are named as Kabinburi Muscovy Duck. - The newborn duckling has yellowish-brown feather, black eyes, pinkish eyes, Shank and feet are yellow. Some of them has black spots on the head. - During growing period, the feather is white throughout the body and black spots are prominent on the middle of the head. - They have pink beak, yellow feet. Their faces have a rough skin with pink corlor. Especially, male ducks have rough skin that pronounced full face. The female ducks have a little rough skin with pink on the area upper beak.",1991,,all part of Thailand,170.0,170.0,170.0,29.0,,,,,,,semi - intensive,"agro-industrial by-products, concentrate, farm-household by-products",stationary,,,,,,,,,,,,,,,,,,0.053,0.053,12.0,12.0,6.0,6.0,6.5,6.5,6.5,28.0,28.0,28.0,,,,,,tropical,,,,,,international,No Material,notAtRisk,notAtRisk,,notAtRisk,,3.9,3900.0,0.053,53.0,,
13402,Thailand,THA,Muscovy duck,Thapra Muscovy Duck (Pedted Thapra),Thailand,"Thapra Muscovy Duck (Pedted Thapra) Thapra Muscovy Duck (Pedted Thapra) was developed by Thapra Livestock Research and Breeding Center, Department of Livestock development. The objective was to improve growth and reproductive traits of Thai Native duck. In 1983, they were collected from 8 provinces in Northeastern part of Thailand. They were improved genetics by crossing with Muscovy duck originated from South Africa. Eggs of duck were increased from 77 to 98 eggs per year. Now egg production trait is 180 eggs/year. - Age at first egg 210 day - BW at first egg 2,305.74 g - Number of eggs 98-180 eggs - Male duck BW at 12 weeks 3,184.21 g - Female duck BW at 12 weeks 1,915.38 g - Mature weighs (male) 4.1 - 4.5 kg. - Mature weighs (female) 2.5 - 3.2 kg.",Muscovy,Pedted Thapra,"DamLine, GeneralCrossbreeding, InterspeciesCrossing, Meat, ProductionOfOffspring, SireLine",Fertilizer,Research,,,,"Thapra Muscovy Duck (Pedted Thapra) Thapra Muscovy Duck (Pedted Thapra) was developed by Thapra Livestock Research and Breeding Center, Department of Livestock development. The objective was to improve growth and reproductive traits of Thai Native duck. In 1983, they were collected from 8 provinces in Northeastern part of Thailand. They were improved genetics by crossing with Muscovy duck originated from South Africa. Eggs of duck were increased from 77 to 98 eggs per year. Now egg production trait is 180 eggs/year. - Age at first egg 210 day - BW at first egg 2,305.74 g - Number of eggs 98-180 eggs - Male duck BW at 12 weeks 3,184.21 g - Female duck BW at 12 weeks 1,915.38 g - Mature weighs (male) 4.1 - 4.5 kg. - Mature weighs (female) 2.5 - 3.2 kg.",,,,Adaptability to tropical,disease resistance,good reproductive,good reproductive,,,,,,,,,,,Black,,No special pattern,Indigenous,black ,,,,,,,,3.18,1.92,Native,y,1983,Domestic,Breed,"Thapra Muscovy Duck (Pedted Thapra) Thapra Muscovy Duck (Pedted Thapra) was developed by Thapra Livestock Research and Breeding Center, Department of Livestock development. The objective was to improve growth and reproductive traits of Thai Native duck. In 1983, they were collected from 8 provinces in Northeastern part of Thailand. They were improved genetics by crossing with Muscovy duck originated from South Africa. Eggs of duck were increased from 77 to 98 eggs per year. Now egg production trait is 180 eggs/year.",1983,,Northeastern part of Thailand ,180.0,180.0,180.0,,,,,,,,extensive (non backyard),"agro-industrial by-products, concentrate, farm-household by-products",stationary,,,,,,,,,,,,,,,,,,,,12.0,12.0,6.0,6.0,6.5,6.5,6.5,28.0,28.0,28.0,,,,,,tropical,,,,,,international,No Material,notAtRisk,notAtRisk,,notAtRisk,,2.55,2550.0,,,,
13405,Tajikistan,TJK,Cattle,Ala-Tau,eng.,,Ala-Tau,Alatauskaya,Milk,,,,,,,,,,,,"Some cows produce up to 13, 14 calves.", ,This breed is known for longevity.,,,,,,,,,,,,,,uni coloured: brown,,,2,2,,136.0,127.0,800.0,500.0,,y,,domestic,breed,"composite of Swiss Brown, Kirgiz and Kazakh",1950,,north-eastern Kyrgyzstan,,,,,,,,,,,,,,,,,305.0,,,3250.0,,,3.82,,,,,,,,31.0,29.0,,,,,,,,,,,,858.0,,,"F65-61, 63 FAO Breed Survey","Performance data were collected from animals kept under stationary conditions, housed for 5.5 months per year and fed on grazing, fodder and concentrates.",,"Some cows live for 15-17 years, produce 13-14 healthy calves and averaged 7 000-9 000 kg of milk with over 4% butter fat.",,,,international,No Information,unknown,unknown,,endangered,,650.0,650000.0,30.0,30000.0,,
13411,Tajikistan,TJK,Cattle,Schwitz,,,Brown Swiss,,Milk,,,,,,,,,,,stable to blood parasites and diseases,, ,,,,,,,,,,,,,,,,,,0,0,,,,450.0,345.0,,,,domestic,breed,imported; exotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk,,397.5,397500.0,,,,
13412,Tajikistan,TJK,Cattle,Shvitse Zebuvidnyi skot,ru.,,,"Schwyz-Zeboid, Swiss- Zebu, Russian Brown-Zebu",Meat,,,,,,,,,,The breed is adapted to live under subtropical climatic conditions.,The animals are reported to show resistance to infectious and parasitic blood diseases.,, ,,,,,,,,,,,,,,,multi coloured: light reddish brown to dark brown,,,2,2,,,,805.0,462.0,,,,domestic,breed,composite of Russian Brown and Tajik Zeboid,1937 onwards,,,,,,,,,,,,,,,,,,,,,,3200.0,,,4.0,,,,,,,,29.1,27.5,,,,,,,,,,,,,,,"F65-93, 94",,,,,,,local,No Information,unknown,unknown,,,,633.5,633500.0,28.3,28300.0,,
13413,Tajikistan,TJK,Cattle,Sredneaziatskii Zebu,ru.,,Central Asian Zebu,"Turkestan Zebu, Turkestanskii Zebu, Central Asian Zebu",,,,,,,,,,,well adapted to hot dry climate,good stability to blood parasites and to several other diseases,late ripeness, ,comparatively high butter-fat and albumen milky,,,,,,,,,,,,,,"uni coloured: black, red, from light to dark tones",,,2,2,,,,325.0,200.0,,,,domestic,breed,In the opinion of many authors supposedly this population appeared as a result of natural interbreeding (in effect of the movement of nations and wars) of the representatives of these two subspecies's of the large horned live-stock (the zebu and central-asiatic live-stock). In Tajikistan first examination of the live-stock was organized in 1930 complex expedition on stock-breeding EKOSO (the Economic Advice and the Defense).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regional,No Information,unknown,unknown,unknown,,,262.5,262500.0,,,,
13418,Tajikistan,TJK,Goat,Mestnye Grubosherstnye Kozy Srednei Azii,ru.,,Russian Central Asian Local Coarse-Haired,Russian Central Asian Local Coarse-Haired,Meat,,,,,,,,,,,,, ,The breed is considered a valuable resource for the creation of new breeds.,,,,,,,,,,,,,,"uni coloured: usually black, occasionally grey, tan or pied",,,2,2,large horns,,,60.0,45.0,,,,domestic,breed,indigenous breed mountain goats,,,Altai,,,,,,cashmere,0.64,,,,,,,,,,150.0,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FAO Breed Survey,"Performance data were collected from animals kept under stationary conditions, the animals were housed for 4-7months per year and fed on grazing, fodder and concentrates.",,,1.37,,,regional,No Information,unknown,unknown,unknown,,,52.5,52500.0,,,,
13421,Tajikistan,TJK,Goat,Sovetskaya Sherstnaya,ru.,,Soviet Mohair,Soviet Mohair,Wool,,,,,,,,,,,,The fertility of this breed is generally quite low, ,"The animals can withstand long distance drives, they have a strong constitution.",F65-333,,,,,,,,,,,,,uni coloured: white,,,2,2,females: small and thin horns males: well developed horns,,,56.0,38.0,,,,domestic,breed,composite of Angora (USA) and Russian Central Asian Coarse-Haired goats,1937,,,,,,,,mohair/angora,1.9,,,,,,,,,,150.0,,,120.0,,,,,,,,,,,3.1,2.8,,,,,,,,,,,,,,,F65-333 FAO Breed Survey,"Performance data were collected from animals kept under stationary conditions, housed for 0-4 months per year and fed on grazing, fodder and concentrates.",,,1.13,,,regional,No Information,unknown,unknown,unknown,,,47.0,47000.0,2.95,2950.0,,
13423,Tajikistan,TJK,Goat,Tajik woolen sort of Nanny goats,,,,,,,,,,,,,,,They are adjusted to distant-pasture maintenance.,,, ,,,,,,,,,,,,,,,uni coloured: white,,,0,0,,,,,,,,,domestic,breed,It is created by crossbreeding of the local nanny goats with Angora woolen nanny goats and it followed the blood rush of australian (the angora) woolen nanny goats.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,,,3.0,3000.0,,
13431,Tajikistan,TJK,Sheep,Array of fine-fleeced,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: white,,,0,0,,,,87.5,50.0,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,1.18,,,local,No Information,unknown,unknown,,,,68.75,68750.0,3.75,3750.0,,
13432,Tajikistan,TJK,Sheep,Darvazskaya,ru.,,,Darvaz,Wool,,,,,,,,,,The animals are well adapted to high altitudes (3 500 m asl.) during the summer and harsh winters.,,, ,,,,,,,,,,,,,,,"uni coloured: black, brown, white <br>multi coloured: black and white pied",,,0/2,0,,58.0,55.0,33.0,31.0,,,,domestic,breed,,,,high mountain zones of Pamir and Karategin valley,,,,,wool,coarse/carpet,0.9,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.4,,,,,,,,,,,,,,,F65-241,,"During the summer period the animals graze in mountain pastures (3 500 m a.s.l.). During the winter animals are confined to sheds. Pastures are poor and winters are harsh, lasting four to six months.",,1.09,,,local,No Information,unknown,unknown,,,,32.0,32000.0,2.5999999999999996,2599.9999999999995,,
13433,Tajikistan,TJK,Sheep,Dzhaidara,ru.,,Jaidara,"Jaydara, Jaidara",Wool,,,"It gives meat, fat and rough wool.",,,,,,,,,, ,,,,,,,,,,,,,,,"uni coloured: black (65-68%), tan (24-26%), grey or brown",,,0/2,0,,,,105.0,73.6,,,,domestic,breed,,,,northern Tajikistan,,,,,wool,coarse/carpet,2.3,,,,,,,,,,,,,,,,,,,,,,,,5.6,5.2,,,,,,,,,,,,151.0,,,F65-229,,during the whole year they use the pasturage,,8.75,,,regional,No Information,unknown,unknown,unknown,,,89.3,89300.0,5.4,5400.0,,
13434,Tajikistan,TJK,Sheep,Gissarian,,,,,Lard,,,,,,,,,,Adapted to regional conditions.,,,"It has most rough wool suitable to fabrication of large felt mat, valenki and other technical fabrics. ",,,,,,,,,,,,,,,,,,0,0,,,,68.0,97.5,,,,domestic,breed,,,,country-wide,,,,,wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,,,82.75,82750.0,,,,
13435,Tajikistan,TJK,Sheep,Gissarskaya,ru.,,,"Uzbek, Hissar",Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: brown,,,0/2,0,some rams have small horns,82.0,78.0,135.0,75.0,,,,domestic,breed,isolated breed of fat-rumped sheep,,,,,,,,wool,coarse/carpet,1.2,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,F65-225,,,,1.12,,,local,No Information,unknown,unknown,,,,105.0,105000.0,,,,
13437,Tajikistan,TJK,Sheep,Karakul,,,Karakul,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,0,0,,,,65.0,44.0,,,,domestic,breed,,,,south,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.1,,,,,,,,,,,,,,,,,,,1.3,,,international,No Information,unknown,unknown,,notAtRisk,,54.5,54500.0,4.1,4100.0,,
13440,Tajikistan,TJK,Sheep,Marco Polo's Sheep,eng.,,Marco Polo's Sheep,"Great Pamir Sheep, Pamir Argali, Great Tibetan Sheep",,,,,,,,,,,,,, ,,R-1973 Report on the Afghan Pamir. Part 2: Biology of Marco Polo Sheep (1973),,,,,,,,,,,,,,,,0,0,,113.0,100.0,126.0,76.0,,,,feral,variety,"Ovis ammon polii, variety of Argali",,,,,,,,wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FAO Breed Survey Roberts, T.J. (?) The Mammals of Pakistan. Heptner V.G. et al (1988) The mammals of the Soviet Union, Vol.1.",,These sheep are found from 5 000 m to 7 500 m a.s.l. in the Pamir range of mountains. The sheep are not permenant residents in Pakistan but migrate in early winter across the Khunjerab Pass into northern Hunza and from the Hindu Kush mountains across the Klick Pass further to the North-West and also into Hunza. In early spring these sheep migrate back northwards into chinese Turkistan or afghan territory and lambs are born outside Pakistan.,,,,,regional,No Information,unknown,unknown,unknown,,,101.0,101000.0,,,,
13445,Tajikistan,TJK,Sheep,Tadzhikskaya,ru.,,,"Tajik Semi-coarsewooled, Tajik",Wool,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: white,,,2,0,,,,120.0,70.0,,,,,,,,,,,,,,wool,medium,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,,"F65-213, 215",,,,1.05,,,local,No Information,unknown,unknown,,,,95.0,95000.0,,,,
13447,Tajikistan,TJK,Yak,Yak,,,,,Meat,,,,,,,,,,"They are highly adaptable to high altitudes, low atmospheric pressure and low oxygen content of air. They can also graze on short grass areas grazed by sheep. Yaks excellently use natural stern grounds which other animals can not use.",,, ,,,,,,,,,,,,,,,"uni coloured: black, brown <br>multi coloured: also white-spotted black, greyish-brown, pale yellowish",,,2,2,,125.0,109.0,425.0,260.0,,,,domestic,breed,,,,in Altai Territory and in high altitude regions of the Tyan Shan,,,,,,,,,,,,,,,,,200.0,,,600.0,,,7.0,,,,,,,,16.0,15.0,,,,,,,,,,,,,,,FAO Breed Survey F65-359,,during the whole year they are kept on pastures (under opened by sky).,,,,,local,No Information,unknown,unknown,,,,342.5,342500.0,15.5,15500.0,,
13455,Turkmenistan,TKM,Cattle,Red Steppe,eng.,,Red Steppe,,Milk,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni-coloured: red,,,0,0,,,,,400.0,,,,domestic,breed,"composite breed developed in Turkmenistan, developed to combine positive qualities of local and imported cattle: adaptability and productivity",,,"Mary, Lebap and Dashoguz velayats",,,,,,,,,,,,,,,,,,,,,2500.0,3500.0,3.9,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,international,No Information,unknown,unknown,,vulnerable,,400.0,400000.0,,,,
13459,Turkmenistan,TKM,Dromedary,Turkmen Arvana,eng.,,Turkmen Arvana,,Meat,,,,,,,,,,The breed is adapted to the local climatic conditions (harsh continental desert climate).,,,"The milk products such as chal, agaran (sour-milk products) etc. have medical significance for tuberculosis, pulmonary and gastrointestinal diseases. ",The animals endure a lack of water and fodder supply.,,,,,,,,,,,,,,,,,,,,182.0,178.0,630.0,450.0,,,,domestic,breed,indigenous breed developed by the Turkmen,,,Karakum desert,,,,,,,2.3,,,,,,,,1700.0,2000.0,450.0,,,4000.0,,,,3.8,4.9,,,,,,30.0,28.0,,,,,,,,,,,,,,,,,"37,5 thousand heads (30,0% ) are in the state agricultural enterprises and 87,5 thousand heads or 70,0% maintained in the private sector <br> generally the herd goes out grazing in remote pastures while 15-20 female lactating camels are kept near the settlement to provide milk to the families",two intra-breed types can be distinguished:<br> 1. Sakarchagin: milk-meat type: - wither height 188 cm;<br> - live weight 720 kg;<br> - milk yield: 3 500 kg in 12 months with 3.5% milk fat;<br> 2. Yerbent milk type: - wither height 178 cm;<br> - live weight 610 kg;<br> - milk yield: 4 400 kg in 12 months with 3.3% milk fat;<br>,1.0,,,regional,No Information,unknown,unknown,unknown,,,540.0,540000.0,29.0,29000.0,,
13460,Turkmenistan,TKM,Goat,Mestnye Grubosherstnye Kozy Srednei Azii,ru.,,Russian Central Asian Local Coarse-Haired,Russian Central Asian Local Coarse-Haired,Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,"uni coloured: usually black, occasionally grey, tan or pied",,,2,2,large horns,,,60.0,45.0,,,,domestic,breed,indigenous breed mountain goats,,,Altai,,,,,,cashmere,0.64,,,,,,,,,,150.0,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FAO Breed Survey,"The data were collected from animals kept under stationary conditions, the animals were housed for 4-7months per year and fed on grazing, fodder and concentrates. The breed is considered a valuable resource for the creation of new breeds.",,,1.37,,,regional,No Information,unknown,unknown,unknown,,,52.5,52500.0,,,,
13461,Turkmenistan,TKM,Goat,Sovetskaya Sherstnaya,ru.,,Soviet Mohair,Soviet Mohair,Wool,,,,,,,,,,,,The fertility of this breed is generally quite low., ,"The animals can withstand long distance drives, they have a strong constitution.",F65-333,,,,,,,,,,,,,uni coloured: white,,,2,2,females: small and thin horns males: well developed horns,,,56.0,38.0,,,,domestic,breed,composite of Angora (USA) and Russian Central Asian Coarse-Haired,1937,,,,,,,,mohair/angora,1.9,,,,,,,,,,150.0,,,120.0,,,,,,,,,,,3.1,2.8,,,,,,,,,,,,,,,F65-333 FAO Breed Survey,"Performance data were collected from animals kept under stationary conditions, housed for 0-4 months per year and fed on grazing, fodder and concentrates.",,,1.13,,,regional,No Information,unknown,unknown,unknown,,,47.0,47000.0,2.95,2950.0,,
13464,Turkmenistan,TKM,Horse,Akhal-Tekinskaya,ru.,,Akhal-Teke,"Turki, Turkmen, Turkmenian, Turkoman, Akhal-Teke",,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,158.0,157.0,465.0,425.0,,,,domestic,breed,"originated as a desert horse, developed in Turkmenia around the turn of the 8th century",turn of the 8th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F65-257 FAO Breed Survey,"Performance data were collected from animals kept under stationary conditions, housed for 4 months per year and fed on grazing, fodder and concentrates.",,"The records for the breed are as follows:<br> 1000m in 1min 3.8 sec,<br> 1600m in 1min 44.8 sec,<br> 2700m in 2 min 45.3 sec.<br>",,,,international,No Information,unknown,unknown,,endangered,,445.0,445000.0,,,,
13469,Turkmenistan,TKM,Sheep,Karakul,,,Karakul,,SkinsHides,,,,,,,,,,"adapted to extreme climatic conditions; daily air temperatures reaches 45-50°C and sand temperature is 70°C and higher, fodder and drinking water deficit , winter frost is often minus 10-15°C with significant snowfalls",,, ,,,,,,,,,,,,,,,uni-coloured: grey to black,,,0,0,,,,52.5,42.5,,,,domestic,breed,,,,Karakum desert,,,,,,,,1.8,2.5,,,,,,,,,120.0,130.0,,120.0,140.0,,6.0,7.0,,,,,,,,,,,,,,,,,,,,,47.0,,,Depending on forage-pastures conditions each herd include from 600 to 900 heads of sheep. Each herd is assigned to a shepherds team of three men.,,,1.0,1.1,international,No Information,unknown,unknown,,notAtRisk,,47.5,47500.0,,,,
13470,Turkmenistan,TKM,Sheep,Saradzhinskaya,ru.,,Sary-Ja,Sary-Ja,Wool,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: grey,,,0,0,,,,85.0,57.5,,y,,domestic,breed,improved by Degeres since 1950,,,South-eastern Turkmenistan,,,,,wool,coarse/carpet,3.5,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.0,,,,,,,,,,,,200.0,,,F65-211,,"This is a range breed, kept on pasture throughout the year. Supplemental feeding is only given to weak sheep and rams during the pre-mating and mating periods. Emergency supplies of roughages and concentrates are kept as an insurance against heavy snowfalls and ice-covered grazing.",,1.04,,,international,No Information,unknown,unknown,,unknown,,71.25,71250.0,5.15,5150.0,,
13471,Turkmenistan,TKM,Sheep,Saraja,,,,,Meat,,,the spring wool of the saraja sheep is used for Turkmen national carpets manufacturing,,,,,,,,,, ,,,,,,,,,,,,,,,"uni-coloured: white with a presence of a small quantity of brown coloured fibers on the head, feet and ears <br>comment: when born they are brown",,,0,0,,,,75.0,55.0,,,,domestic,breed,developed in South-east Turkmenistan by Turkmen,,,Karakum desert and Kopet Dag foothills.,,,,,wool,coarse/carpet,,2.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.1,local,No Information,unknown,unknown,,,,65.0,65000.0,,,,
13502,Trinidad and Tobago,TTO,Cattle,Sahiwal,eng.,,Sahiwal,,,,,,,,,,,,,The animals are reported to show resistance to tick borne diseases.,,This is an excellent dairy breed. ,,,,,,,,,,,,,,,uni coloured: rarely white <br>multi coloured: usually reddish-dun usually with white markings,,,2,2,,136.0,120.0,430.0,350.0,,y,,domestic,breed,,,,,,,,,,,,,,,,,,,,,272.0,,,1852.0,,,4.6,,,,,,,,23.2,21.3,,,,,,,,,,,,,,,N2-56 N3-60 F66-49,,,,,,,international,No Information,unknown,unknown,,notAtRisk,,390.0,390000.0,22.25,22250.0,,
